Fecha,Temp_Max,Temp_Min,Viento_Max_kmh,Mes
2024-01-01,30.9,22.7,17.1,January
2024-01-02,29.9,23.1,13.1,January
2024-01-03,32.2,22.7,17.3,January
2024-01-04,32.3,22.4,15.6,January
2024-01-05,32.6,23.0,18.4,January
2024-01-06,32.1,23.8,19.6,January
2024-01-07,32.3,24.8,23.4,January
2024-01-08,32.5,24.5,24.5,January
2024-01-09,33.9,23.8,22.9,January
2024-01-10,34.1,23.9,15.9,January
2024-01-11,33.7,24.7,18.5,January
2024-01-12,32.5,22.5,14.2,January
2024-01-13,32.3,22.7,13.6,January
2024-01-14,33.5,23.3,18.3,January
2024-01-15,34.1,24.4,26.7,January
2024-01-16,34.0,25.0,24.1,January
2024-01-17,34.5,25.2,23.1,January
2024-01-18,33.8,24.8,23.8,January
2024-01-19,34.4,23.4,15.9,January
2024-01-20,33.6,23.9,16.3,January
2024-01-21,34.4,24.7,23.1,January
2024-01-22,32.9,25.2,29.9,January
2024-01-23,34.2,24.4,27.9,January
2024-01-24,34.2,24.9,30.1,January
2024-01-25,34.6,24.6,25.3,January
2024-01-26,33.7,23.9,20.4,January
2024-01-27,34.3,23.9,20.5,January
2024-01-28,34.4,23.2,19.4,January
2024-01-29,31.5,22.2,14.8,January
2024-01-30,32.5,23.0,17.7,January
2024-01-31,30.0,23.4,15.8,January
2024-02-01,29.9,22.8,15.9,February
2024-02-02,29.7,23.7,12.7,February
2024-02-03,30.7,23.9,11.0,February
2024-02-04,31.7,23.0,8.3,February
2024-02-05,31.5,22.8,14.2,February
2024-02-06,31.0,23.9,17.5,February
2024-02-07,28.2,23.2,13.6,February
2024-02-08,28.2,21.0,13.6,February
2024-02-09,31.0,20.7,18.4,February
2024-02-10,32.0,23.8,23.6,February
2024-02-11,32.7,24.3,26.7,February
2024-02-12,33.7,23.5,18.4,February
2024-02-13,34.2,23.4,19.0,February
2024-02-14,33.4,23.9,19.2,February
2024-02-15,34.5,25.6,18.8,February
2024-02-16,35.0,25.1,23.5,February
2024-02-17,34.6,24.8,17.9,February
2024-02-18,33.9,24.3,15.4,February
2024-02-19,32.2,23.6,15.5,February
2024-02-20,31.4,22.4,17.2,February
2024-02-21,29.6,22.0,13.7,February
2024-02-22,30.4,22.4,16.0,February
2024-02-23,31.4,21.7,16.9,February
2024-02-24,32.4,21.4,16.5,February
2024-02-25,32.4,22.6,17.6,February
2024-02-26,32.6,21.7,17.0,February
2024-02-27,33.1,21.7,18.7,February
2024-02-28,33.4,22.4,21.7,February
2024-02-29,33.5,23.0,19.8,February
2024-03-01,33.1,23.5,24.1,March
2024-03-02,33.9,23.3,21.3,March
2024-03-03,33.4,22.8,19.9,March
2024-03-04,33.7,23.0,18.4,March
2024-03-05,33.3,22.7,17.8,March
2024-03-06,34.1,23.7,16.6,March
2024-03-07,32.6,23.5,14.6,March
2024-03-08,32.9,25.1,16.8,March
2024-03-09,34.2,25.1,16.6,March
2024-03-10,33.5,25.3,18.6,March
2024-03-11,34.1,25.3,18.9,March
2024-03-12,34.2,23.7,20.0,March
2024-03-13,34.7,24.4,19.1,March
2024-03-14,34.5,24.5,17.2,March
2024-03-15,34.9,25.2,23.6,March
2024-03-16,34.6,24.7,17.4,March
2024-03-17,35.9,24.9,20.1,March
2024-03-18,35.3,26.5,18.7,March
2024-03-19,35.0,25.2,16.9,March
2024-03-20,32.9,24.8,16.1,March
2024-03-21,32.7,24.8,17.0,March
2024-03-22,35.5,23.4,21.2,March
2024-03-23,34.4,22.9,18.4,March
2024-03-24,33.8,23.1,14.1,March
2024-03-25,32.4,23.9,15.0,March
2024-03-26,31.9,24.0,14.7,March
2024-03-27,32.2,22.9,15.6,March
2024-03-28,32.3,22.7,17.4,March
